judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
116. As Good as It Gets,1997,2h 19m,PG-13,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",7.7,(323K)
117. Another Round,2020,1h 57m,Not Rated,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,7.7,(201K)
118. The Fault in Our Stars,2014,2h 6m,PG-13,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.",7.7,(407K)
119. What's Eating Gilbert Grape,1993,1h 58m,PG-13,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,7.7,(257K)
120. Flipped,2010,1h 30m,PG,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",7.7,(99K)
121. Wreck-It Ralph,2012,1h 41m,PG,Ralph is tired of playing the role of a bad guy and embarks on a journey to become a video game hero. But he accidentally lets loose a deadly enemy that threatens the entire arcade.,7.7,(466K)
122. Glengarry Glen Ross,1992,1h 40m,R,An examination of the machinations behind the scenes at a real estate office.,7.7,(118K)
123. Detachment,2011,1h 38m,Not Rated,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,7.7,(101K)
124. The Name of the Rose,1986,2h 10m,R,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,7.7,(119K)
125. Days of Heaven,1978,1h 34m,PG,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,7.7,(64K)
126. Philadelphia,1993,2h 5m,PG-13,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small-time lawyer as the only willing advocate for a wrongful dismissal suit.",7.7,(261K)
127. This Is England,2006,1h 41m,Not Rated,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",7.7,(130K)
128. The French Connection,1971,1h 44m,R,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",7.7,(138K)
129. Mr. Nobody,2009,2h 21m,R,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",7.7,(248K)
130. Being John Malkovich,1999,1h 53m,R,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,7.7,(356K)
131. Lucky Number Slevin,2006,1h 50m,R,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",7.7,(328K)
132. Empire of the Sun,1987,2h 33m,PG,A young English boy struggles to survive under Japanese occupation of China during World War II.,7.7,(136K)
133. The Bourne Supremacy,2004,1h 48m,PG-13,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",7.7,(492K)
134. Billy Elliot,2000,1h 50m,R,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,7.7,(145K)
135. Sound of Metal,2019,2h,R,"During a series of adrenaline-fueled gigs, itinerant punk-metal drummer Ruben begins to experience hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career - and with it his life - is over.",7.7,(154K)
136. Kung Fu Hustle,2004,1h 39m,R,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",7.7,(153K)
137. Black Book,2006,2h 25m,R,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",7.7,(81K)
138. Adaptation.,2002,1h 55m,R,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,7.7,(205K)
139. The Theory of Everything,2014,2h 3m,PG-13,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally.,7.7,(487K)
140. The Last Emperor,1987,2h 43m,PG-13,Bernardo Bertolucci's Oscar-winning dramatization of China's eleventh and final monarch of the Qing dynasty: Emperor Puyi.,7.7,(113K)
141. Evil Dead II,1987,1h 24m,R,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack.",7.7,(185K)
142. Dirty Harry,1971,1h 42m,R,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",7.7,(171K)
143. The Trial of the Chicago 7,2020,2h 9m,R,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.7,(196K)
144. The Holy Mountain,1973,1h 54m,R,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",7.7,(49K)
145. Changeling,2008,2h 21m,R,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope.",7.7,(267K)
146. The Killer,1989,1h 51m,R,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore the vision of a singer he accidentally blinded.,7.7,(52K)
147. Serpico,1973,2h 10m,R,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,7.7,(137K)
148. Goldfinger,1964,1h 50m,Approved,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",7.7,(205K)
149. Star Trek II: The Wrath of Khan,1982,1h 53m,PG,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",7.7,(131K)
150. Clerks,1994,1h 32m,R,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",7.7,(234K)
151. Bonnie and Clyde,1967,1h 51m,R,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",7.7,(122K)
152. Paprika,2006,1h 30m,R,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",7.7,(100K)
153. Happiness,1998,2h 14m,NC-17,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",7.7,(75K)
154. The Color Purple,1985,2h 34m,PG-13,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.",7.7,(99K)
155. Ray,2004,2h 32m,PG-13,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",7.7,(159K)
156. A Man Called Ove,2015,1h 56m,PG-13,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",7.7,(70K)
